,text,page_number
10,"Son élaboration fait l’objet d’une concertation auprès de toutes les parties prenantes intéressées, incluant une consultation publique sur les hypothèses, une présentation des résultats intermédiaires et une analyse collective des priorités d’études.",4
11,"Il s’intègre à un programme de travail, évolutif en fonction des demandes des parties prenantes, discuté au sein des réunions de concertation organisées par RTE (Commission perspectives du système et du réseau). Les analyses présentées dans le cadre du Bilan prévisionnel peuvent, à ce titre, faire l’objet de prolongements thématiques (comme par exemple sur les imports/exports, la mobilité électrique, l’hydrogène, ou le secteur du bâtiment à l’horizon 2030-2035). Ces rapports thématiques sont publics et disponibles sur le site internet de RTE.",4
12,"Le présent rapport constitue la version complète du Bilan prévisionnel 2019. Il établit un diagnostic de la sécurité d’approvisionnement en France à partir des informations disponibles à la fin de l’année 2019 (objectifs publics, annonces des producteurs et porteurs de projet en France et dans le reste de l’Europe). Les chiffres définitifs caractérisant le paysage électrique français pour l’année 2019 sont précisés dans le Bilan électrique 2019 de RTE.",4
30,4.2 Le développement de l’interconnexion de la France avec ses voisins se précise via de nouvelles lignes avec la Grande-Bretagne et l’Italie 71,5
32,4.4 De nombreuses fermetures simultanées de centrales au charbon et de réacteurs nucléaires devraient se concrétiser à moyen terme dans les pays voisins de la France 79,5
35,5.2 L’analyse détaillée de la sécurité d’alimentation de la France permet de hiérarchiser les risques au-delà du « critère des trois heures » 91,5
62,"8.2 La fermeture des centrales au charbon est sans influence sur l’évolution du solde exportateur de la France en électricité, structurellement orienté à la hausse 156",6
65,8.5 Les moyens thermiques au gaz jouent un rôle important dans la période de transition décrite dans le Bilan prévisionnel 170,6
66,8.6 Le système électrique peut accueillir de nouveaux usages dans une optique de réduction des émissions de gaz à effet de serre 172,6
74,"telles que des vagues de froid, des avaries imprévues de moyens de production ou encore des épisodes de vent faible. Un critère statistique fixé par les pouvoirs publics définit le niveau de risque accepté par la collectivité en matière de déséquilibre entre l’offre et la demande ;",9
75,"2. la sûreté d’exploitation en temps réel (réglage de la fréquence) : il s’agit de vérifier qu’en cas d’aléa sur l’équilibre offre- demande européen (aléa entraînant par exemple la perte d’un ou plusieurs moyens de production), les capacités de production et les flexibilités (effacement, stockage) présentes dans le mix électrique entreront en action suffisamment rapidement pour stabiliser la fréquence ;",9
76,3. la maîtrise du plan de tension : il s’agit de vérifier que les infrastructures de production et de réseau permettent de maintenir la tension à son niveau nominal sur l’ensemble du territoire,9
78,La notion de sécurité d’approvisionnement renvoie à la faculté d’assurer un niveau de service donné pour l’alimentation des consommateurs d’électricité en France.,9
79,"Il s’agit d’une notion très large qui peut recouvrir des problématiques différentes. S’agissant de l’alimentation en électricité et sans même intégrer les enjeux d’indépendance énergétique, de sécurisation de l’approvisionnement en combustible ou en matériaux critiques, on peut a minima distinguer :",9
80,1. le dimensionnement du parc de production et d’effacement : il s’agit de vérifier que le mix électrique dispose d’assez de capacités pour assurer l’équilibre offre- demande dans la plupart des situations (hors évènements exceptionnels),9
85,"COMBIEN de capacités de production et d’effacement sont nécessaires pour passer certains événements extrêmes (vagues de froid, indisponibilité de réacteurs, vent faible…) ?",9
88,OÙ sont situés les moyens de production ? Est-ce que cette répartition permet de maintenir la tension à son niveau nominal sur tout le territoire ?,9
94,français. Cette problématique est liée à la répartition géographique des moyens de production. Certaines zones parmi les moins dotées en moyens de production peuvent ainsi faire l’objet d’une vigilance spécifique face au risque d’écroulement de tension dans des situations extrêmes (vague de froid ou indisponibilités simultanées de moyens de production de la zone ou indisponibilités sur le réseau de grand transport).,10
95,"Pour assurer l’équilibre du système électrique (équilibre offre- demande, fréquence et tension), RTE dispose de différents leviers d’exploitation « normaux » (sollicitation des capacités de production et d’effacement via le marché et le mécanisme d’ajustement) ainsi que de leviers dits « post marché » (appels aux gestes citoyens, sollicitation des gestionnaires de réseau européens dans le cadre des contrats de secours, dégradation des marges d’exploitation, interruptibilité, réduction de la tension sur les réseaux de distribution…).",10
97,"de consommateurs, momentanées, localisées et tournantes afin de préserver la sécurité d’alimentation du plus grand nombre (il ne s’agit donc pas d’une situation de blackout).",10
99,"Le dimensionnement du parc de production en France a toujours permis le respect du critère de sécurité d’approvisionnement tel que défini par les pouvoirs publics, c’est-à-dire une durée de défaillance inférieure à trois heures par an en espérance1.",10
100,"Au cours des dernières années, la fermeture des centrales au fioul et au charbon a néanmoins entraîné une résorption des surcapacités et une réduction des marges du système électrique et rapproche désormais le niveau de sécurité d’approvisionnement du critère réglementaire.",10
102,"1. Dans le cadre du projet de Programmation pluriannuelle de l’énergie, le Gouvernement précise le critère de sécurité d’approvisionnement historique (critère dit « des trois heures ») en spécifiant la notion de défaillance, définie comme une situation de déséquilibre entre l’offre et la demande nécessitant l’appel aux moyens post marché, et en le complétant avec un critère sur le niveau de délestage, dont la durée moyenne devra rester inférieure à deux heures par an. Les premières analyses menées par RTE montrent qu’étant donné le volume de moyens post marché disponibles en France, les deux critères sont équivalents.",10
116,"À l’heure actuelle, ce risque se matérialise pour l’essentiel dans des situations extrêmes de vague de froid ou d’indisponibilités simultanées affectant le parc nucléaire, comme l’arrêt de plusieurs réacteurs par le producteur ou sur demande de l’Autorité de sûreté nucléaire.",11
117,"Dans de telles situations, RTE procède à l’activation des moyens post marché cités précédemment, de manière à éviter ou à limiter le recours au délestage de consommateurs. L’activation de ces moyens post marché ne constitue pas la traduction d’une vulnérabilité subie, mais correspond à une situation choisie : dans un système équilibré à trois heures, la probabilité d’avoir recours au moins une fois dans l’année à un moyen post marché est de l’ordre de 25 %.",11
118,Le fonctionnement en temps réel du système : des enjeux désormais plus perceptibles du fait de l’activation des capacités interruptibles en 2019,11
119,"En temps réel, le système électrique est en permanence confronté à des variations de l’offre et de la demande. Ces variations sont dues à des aléas (par exemple, déconnexion fortuite d’un moyen de production, variation rapide des programmes de production…) ou à des écarts de prévision (par exemple, écart par rapport à la prévision sur la température influant sur la prévision de consommation). Elles peuvent affecter l’équilibre entre production et consommation et faire dévier la fréquence du système électrique européen.",11
120,"Pour y faire face et ajuster à tout instant l’équilibre du système, RTE dispose de différentes réserves pouvant être activées avec des délais plus ou moins rapides. Parmi celles-ci, la réserve primaire, ou réglage primaire de fréquence, est celle qui dispose du temps de réaction le plus rapide et permet de réguler la fréquence de manière automatique en l’espace de quelques secondes. Les autres réserves contractualisées par RTE (réserves secondaire, rapide et complémentaire) peuvent ensuite prendre le relais pour équilibrer le système dans la durée.",11
121,"Dans les (rares) cas où l’activation de ces réserves ne suffit pas à rétablir l’équilibre entre l’offre et la demande et stabiliser la fréquence, d’autres leviers d’exploitation peuvent entrer en action tels que l’interruptibilité de grands consommateurs industriels. Il s’agit d’un service faisant l’objet d’une contractualisation annuelle, qui prévoit la possibilité d’interrompre en quelques secondes la consommation des sites concernés, en cas de tension sur le système ou en cas d’écarts sur la fréquence du système électrique européen par rapport au niveau nominal de 50 Hz.",11
122,"Ce levier a été activé pour réguler la fréquence, de manière automatique, à deux reprises au cours de l’année 2019, le 10 janvier et le 7 octobre. Contrairement à certaines explications relayées dans la presse ou sur les réseaux sociaux, l’activation de ce dispositif ne signifie aucunement que la France aurait frôlé le blackout lors de ces journées. Elle témoigne simplement que ces dispositifs aux délais d’action très rapides peuvent constituer, dans des circonstances données, des dispositifs appropriés pour gérer certaines situations d’exploitation du système électrique.",11
123,"L’écho de ces activations dans la presse spécialisée a néanmoins permis d’illustrer la complexité des mécanismes mis en jeu. Ces activations sont en effet intervenues hors des configurations le plus souvent décrites comme susceptibles d’occasionner des ruptures d’approvisionnement. Au contraire, le 10 janvier et le 7 octobre 2019, de nombreuses capacités de production et d’effacement étaient disponibles : les activations automatiques de l’interruptibilité dans ces circonstances ne traduisent donc pas un déficit d’offre, mais plutôt une différence de dynamique entre l’évolution de la production, qui s’adapte à la logique de fonctionnement des marchés, et l’évolution de la demande d’électricité, et ce à la maille de la plaque continentale européenne.",11
124,"Ces déséquilibres structurels consomment une partie plus ou moins importante des réserves nécessaires à la stabilisation de la fréquence en cas d’aléa, en particulier sur la production.",11
142,rapide de régulation de la fréquence en particulier lorsque la situation est marquée par la concomitance entre (i) des variations importantes des programmes de production et d’échanges d’électricité aux interconnexions et (ii) un ou plusieurs aléas affectant la production ou le réseau électrique européen.,12
144,"u de tels écarts sont régulièrement observés depuis plusieurs dizaines d’années, en particulier aux heures rondes, à des moments où les programmes de production et d’échanges aux interconnexions connaissent des variations importantes2 ;",12
145,"u ces écarts de fréquence ne sont pas liés au développement des énergies renouvelables et seraient intervenus également dans un mix électrique constitué exclusivement de moyens nucléaires, thermiques et/ou hydrauliques.",12
146,"En collaboration avec ses homologues européens, RTE étudie des solutions ou évolutions des règles de marché, visant à améliorer la régulation de la",12
148,"u renforcer la rapidité de réaction de la réserve primaire, premier levier de maîtrise des écarts de fréquence, pour répondre aux dégradations rapides qui se produisent en quelques secondes ;",12
149,u disposer de leviers d’ajustement de la production adaptés à la temporalité de l’équilibrage de ces situations pouvant être mis en œuvre très rapidement et sur des courtes durées ;,12
150,u réduire le pas de programmation des échanges transfrontaliers aujourd’hui majoritairement au pas horaire et lisser les variations associées de la production.,12
151,"Dans un premier temps, RTE a décidé de renforcer le contrôle de l’aptitude technique des groupes assurant le réglage primaire, de manière à interdire progressivement la participation au réglage de fréquence à des unités de production ne présentant pas les caractéristiques requises en matière de rapidité d’action (par exemple pour certains groupes hydrauliques fonctionnant « au fil de l’eau »).",12
152,2. Voir le rapport de l’association des gestionnaires de réseau européens ENTSO-E publié début 2019 : Continental Europe significant frequency deviations – January 2019,12
155,"À l’échelle régionale, la notion d’équilibre offre- demande n’a généralement pas de sens, car les réseaux électriques permettent de mutualiser les capacités de production et d’effacement et de gérer cet équilibre à l’échelle nationale voire européenne, ce qui est beaucoup plus efficace sur les plans technique et économique.",13
156,"Cet équilibre plus large est tributaire des capacités d’acheminement du réseau, qui ne sont pas infinies. En particulier, le maintien de la tension sur le réseau électrique, facilité par la présence de moyens de production, peut conduire à une vigilance spécifique dans des zones présentant une forte consommation et peu dotées en moyens de production. Dans de telles zones, en cas de vague de froid intense et/ou",13
181,COURSEULLESSUR-MER Éolien terrestre : 52 GW (115 TWh) Environ 14 300 éoliennes (sans repowering ) Éolien en mer : 15 GW (47 TWh ) Environ 3 000 éoliennes,13
198,"d’indisponibilité de certaines capacités, il peut exister un risque que les moyens de production ne parviennent pas à maintenir la tension, pouvant entraîner des déconnexions en cascade et des coupures sur une large partie du réseau (phénomène d’écroulement de tension). Pour éviter un tel incident généralisé, RTE peut alors procéder à l’activation des leviers post marché, selon la séquence exposée en 5.3.",13
199,"En France, seule la zone du Grand Ouest, qui couvre l’ensemble du quart nord-ouest de la France, est aujourd’hui concernée par une telle vigilance. Cette situation a été décrite en détail dans les dernières publications relatives à la sécurité d’approvisionnement (Bilan prévisionnel 2018, volet régional « Pays de la Loire », rapport d’analyses complémentaires d’avril 2019). Elle conduit à des préconisations spécifiques pour l’évolution de la production à Cordemais au cours des prochaines années (voir la partie dédiée au diagnostic).",13
202,"L’est de la région Provence-Alpes-Côte d’Azur, autrefois considéré comme une « péninsule électrique » au même titre que la Bretagne, n’est plus aujourd’hui dans cette situation. Son alimentation a été sécurisée par le renforcement du réseau (« filet de sécurité PACA ») et le développement de production dans la zone de Fos.",14
203,"Enfin, l’est de la France est une région où la production est très développée et le réseau fortement maillé : aucun problème de sécurité d’approvisionnement local n’est à signaler ou à envisager.",14
207,"u des objectifs de développement pour les énergies renouvelables, à fin 2023 et 2028, et les mesures pour les atteindre (appels d’offres…) ;",14
209,"u un objectif de fermeture des dernières centrales au charbon d’ici 2022, et aucun nouveau projet de centrales thermiques fossiles ;",14
212,"La loi énergie et climat promulguée le 8 novembre 2019 confirme ces objectifs. Elle précise notamment les dispositions visant à limiter fortement la production des centrales au charbon à partir du 1er janvier 2022, conduisant de fait à leur fermeture.",14
214,"L’édition 2019 porte sur l’horizon 2020-2025, l’analyse de risque relative à l’hiver 2019-2020 étant traitée dans le cadre des études saisonnières",14
215,"Dans le cadre de ses missions et conformément au Code de l’énergie3, RTE établit périodiquement un Bilan prévisionnel pluriannuel de l’équilibre entre l’offre et la demande d’électricité en France. Celui-ci contribue à l’élaboration de la politique énergétique, en éclairant le paysage du système électrique à long terme. À ce titre, il constitue un document de référence sur la sécurité d’approvisionnement en France et les perspectives d’évolution du système.",14
216,"Chaque année, le Bilan prévisionnel établit une analyse de risque de l’équilibre offre- demande sur un horizon de moyen terme. Sur cet horizon, il s’agit d’étudier les effets de l’évolution probable de la consommation et du parc de production par rapport au critère public de sécurité d’approvisionnement et de vérifier les configurations permettant au système électrique d’être équilibré.",14
218,"Le début de l’année 2019 a été marqué par la publication du projet de Programmation pluriannuelle de l’énergie (PPE) par le ministère de la Transition écologique et solidaire. Ce projet de PPE, publié le 25 janvier 2019, synthétise la programmation énergétique de la France pour les dix années à venir (2018-2028) en définissant les objectifs et les mesures associées permettant à la",14
221,publiées par RTE. Elle vise à apporter un éclairage technique sur l’état et les marges de manœuvre du système électrique dans une période clé pour la transition énergétique en France durant laquelle :,15
224,"u le parc nucléaire commencera son évolution avec la fermeture des réacteurs de Fessenheim en 2020, la mise en service de l’EPR de Flamanville à compter de 2023 et le début du programme de prolongation des réacteurs nucléaires au-delà de 40 ans ;",15
225,u le parc thermique pilotable devrait évoluer de manière significative avec la mise en service de la centrale de Landivisiau et la fermeture des dernières centrales au charbon annoncée dans le projet de PPE.,15
226,Plusieurs trajectoires sont envisagées pour l’évolution des différents paramètres du parc de production et de la consommation d’électricité afin de dresser un éventail de possibilités et de disposer d’un diagnostic technique intégrant un large champ de configurations.,15
229,"Conformément aux orientations discutées lors de la Commission « Perspectives système et réseau » du 17 mai 2019, RTE a lancé un appel à contributions, visant à solliciter les acteurs sur les éléments nécessaires à l’élaboration de cet exercice. L’appel à contributions a pour ambition de renforcer le partage et la transparence sur les hypothèses et la méthodologie utilisées dans le cadre de l’analyse de l’équilibre offre- demande du Bilan prévisionnel.",15
230,"Cet appel à contributions a porté sur les hypothèses principales retenues dans le cadre de l’analyse de sécurité d’approvisionnement du Bilan prévisionnel 2019 : hypothèses de demande, d’évolution du parc de production, de calendrier de développement d’interconnexion, de coûts de combustibles, ou encore d’hypothèses relatives aux mix énergétiques des pays voisins.",15
235,"Pour compléter l’analyse, l’étude des variantes permet de confronter des configurations plus dégradées ou plus favorables pour évaluer l’impact des différents paramètres du système sur la sécurité d’approvisionnement. Ces analyses retiennent notamment des trajectoires alternatives sur le déploiement des énergies renouvelables, l’évolution de la filière nucléaire et le devenir du parc thermique fossile en France et en Europe.",16
236,Le cas de base et la liste des variantes ont été établis suite à la consultation publique lancée en juin 2019. Les principales orientations retenues ont été présentées aux parties prenantes en septembre dernier.,16
237,Une analyse centrée sur un cas de base nécessitant des inflexions par rapport à la tendance mais qui semble raisonnablement atteignable,16
238,"L’objet du Bilan prévisionnel est de porter un diagnostic sur la sécurité d’approvisionnement au cours des prochaines années. Ce diagnostic est formulé d’une part par rapport à un cas de base consistant en une configuration donnée du système électrique, et d’autre part sur la base de variantes sur les différents paramètres.",16
239,"Le cas de base du Bilan prévisionnel 2019 se veut représentatif d’une vision réaliste de l’évolution du système électrique à moyen terme. Ainsi, les hypothèses retenues dans le cas de base n’épousent pas nécessairement les objectifs publics, notamment s’ils s’inscrivent en rupture forte avec la tendance observée ces dernières années ou lorsque les annonces publiques ne permettent pas d’envisager de manière certaine la mise en service ou la fermeture d’un moyen de production.",16
319,"Échanges avec l’Espagne, la Grande-Bretagne, l’Italie et la Suisse Les capacités d’échange sont définies à partir de l’historique des échanges commerciaux selon la méthode NTC",18
367,Fessenheim Éolien terrestre : 52 GW (11TWh) nviron 14 300 éoliennes (sans repowering) Éolien en mer : 1GW (47 TWh ) nviron 000 éoliennes,19
372,Fessenheim Éolien terrestre : 52 GW (11TWh) nviron 14 300 éoliennes (sans repowering) Éolien en mer : 1GW (47 TWh ) nviron 000 éoliennes,19
478,"Selon les données provisoires disponibles à fin septembre 2019, cette tendance semble également se confirmer sur l’année, voire pourrait s’infléchir, puisque la consommation intérieure d’électricité corrigée des aléas s’inscrit en baisse de 0,5 % sur les neuf premiers mois de l’année 2019 par rapport à la même période de l’année précédente.",23
479,La tendance générale à la stabilité ou à une légère diminution pour les prochaines années est donc conservée dans le Bilan prévisionnel 2019.,23
480,"Depuis le début des années 2010, la consommation française d’électricité est entrée dans une phase de relative stabilité. Ce ralentissement structurel de la consommation, constaté également dans la plupart des pays européens, s’explique essentiellement par l’effet des actions d’efficacité énergétique et la « tertiarisation » de l’économie (le secteur tertiaire étant moins énergivore que l’industrie à niveau de production équivalent).",23
481,"Cette tendance s’est confirmée en 2018 avec une consommation d’électricité corrigée des aléas climatiques stable par rapport à l’année précédente, voire en légère baisse (-0,3 %) du fait de facteurs conjoncturels, notamment une croissance économique moins",23
494,"Pour les prochaines années, le cas de base du Bilan prévisionnel 2019 repose, comme l’exercice précédent, sur une hypothèse de stabilité de la consommation électrique en France à l’horizon 2025. Des",24
