,level1,level2,level3,level4,paragraph,filename,text
0,DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux,,,,"_La DODER est le référentiel documentaire pour les études de réseaux. A destination des chargés d'études réseaux, elle met à disposition les doctrines et méthodes, les outils nécessaires à l'application des méthodes, des articles décrivant les principaux processus associés aux études ainsi que diverses ressources techniques et pédagogiques._
> _La mise à jour de la DODER est assurée par POM (pôle outils & méthodes). Pour toute demande d'évolution, merci de contacter la boîte fonctionnelle  [RTE-FC-FAQ-DODER](&E20)._
",DODER_accueil.md,"Titre du document : DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux
Contenu : _La DODER est le référentiel documentaire pour les études de réseaux. A destination des chargés d'études réseaux, elle met à disposition les doctrines et méthodes, les outils nécessaires à l'application des méthodes, des articles décrivant les principaux processus associés aux études ainsi que diverses ressources techniques et pédagogiques._
> _La mise à jour de la DODER est assurée par POM (pôle outils & méthodes). Pour toute demande d'évolution, merci de contacter la boîte fonctionnelle  [RTE-FC-FAQ-DODER](&E20)._
"
1,DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux,1. Méthodologies d’études,,,"* [**Principes généraux d'études des réseaux**](&A80)
* [**Etudes de raccordement des clients**](&A78)
* [Etudes de Mise en souterrain d'initiative locale (MESIL)](&A69)
* [Etudes de réseaux cibles (études de structures et études de zones)](&A75)
* [Etudes pour les Schémas régionaux de raccordement au réseau des EnR (S3REnR)](&A26)
* [Etudes de tensions hautes](&A67)
* [Etudes économiques](&A25)
",DODER_accueil.md,"Titre du document : DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux
Section : 1. Méthodologies d’études
Contenu : * [**Principes généraux d'études des réseaux**](&A80)
* [**Etudes de raccordement des clients**](&A78)
* [Etudes de Mise en souterrain d'initiative locale (MESIL)](&A69)
* [Etudes de réseaux cibles (études de structures et études de zones)](&A75)
* [Etudes pour les Schémas régionaux de raccordement au réseau des EnR (S3REnR)](&A26)
* [Etudes de tensions hautes](&A67)
* [Etudes économiques](&A25)
"
2,DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux,2. Données et outils pour les études,,,"* [**Outils pour réaliser les études**](&A42)
* [**RCD : Référentiel des coûts pour les études de réseaux**](&A90)
* [Portail d'accès aux outils et données en ligne](&E1)
* [Modèles pour la simulation des réseaux](&A19)
* [Chaîne applicative pour les prévisions de consommation](&A62)
",DODER_accueil.md,"Titre du document : DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux
Section : 2. Données et outils pour les études
Contenu : * [**Outils pour réaliser les études**](&A42)
* [**RCD : Référentiel des coûts pour les études de réseaux**](&A90)
* [Portail d'accès aux outils et données en ligne](&E1)
* [Modèles pour la simulation des réseaux](&A19)
* [Chaîne applicative pour les prévisions de consommation](&A62)
"
3,DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux,3. Référentiels techniques des autres métiers,,,"* [Référentiel pour le raccordement](&A74)
* [Référentiel de la maîtrise des risques en exploitation](&E105)
* [Référentiels techniques Postes et Liaisons](&A72)
",DODER_accueil.md,"Titre du document : DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux
Section : 3. Référentiels techniques des autres métiers
Contenu : * [Référentiel pour le raccordement](&A74)
* [Référentiel de la maîtrise des risques en exploitation](&E105)
* [Référentiels techniques Postes et Liaisons](&A72)
"
4,DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux,4. Processus associés aux études,,,"* [Processus décisionnel](&A65)
* [Processus d'élaboration des capacités d'accueil sur le réseau](&A3)
* [Processus d'élaboration des prévisions de consommation (EBR)](&A27)
* [Programmation Pluriannuelle de Gestion des actifs (PPGA)](&A50)
* [Processus d'élaboration du Corps d’hypothèses général (CHG)](&A10)
* [Processus de mise à disposition des Données Pour les Etudes de Réseaux (DOPLER)](&A66)
* [Processus de mise à disposition des Données Multi-Situations (DOPLER MS)](&E84)
* [Schéma décennal de développement du réseau (SDDR)](&A71)
* [Schéma décennal européen : Ten year national development plan (TYNDP)](&A68)
",DODER_accueil.md,"Titre du document : DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux
Section : 4. Processus associés aux études
Contenu : * [Processus décisionnel](&A65)
* [Processus d'élaboration des capacités d'accueil sur le réseau](&A3)
* [Processus d'élaboration des prévisions de consommation (EBR)](&A27)
* [Programmation Pluriannuelle de Gestion des actifs (PPGA)](&A50)
* [Processus d'élaboration du Corps d’hypothèses général (CHG)](&A10)
* [Processus de mise à disposition des Données Pour les Etudes de Réseaux (DOPLER)](&A66)
* [Processus de mise à disposition des Données Multi-Situations (DOPLER MS)](&E84)
* [Schéma décennal de développement du réseau (SDDR)](&A71)
* [Schéma décennal européen : Ten year national development plan (TYNDP)](&A68)
"
5,DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux,5. Formations et documentation générale,,,"* [Formations](&A41)
* Documentation
	* [**Structures et ouvrages des réseaux d'électricité**](&A100)
	* [Liste des politiques techniques](&A43)
	* [Fiches mémo thématiques](&E16)
	* [Grimoires antédiluviens](&A47)
	* [Glossaire](&E22)
* Contenu de la DODER
	* [_Liste des Articles de la DODER_](&A117)
	* [_Liste des Documents de la DODER_](&A118)
	* [_Liste des Ressources externes de la DODER_](&A119)
	* [_Liste des Figures de la DODER_](&A120)
	* [Modèle de rédaction de la DODER](&A48)
	",DODER_accueil.md,"Titre du document : DODER - Documentation Opérationnelle du Domaine Etudes de Réseaux
Section : 5. Formations et documentation générale
Contenu : * [Formations](&A41)
* Documentation
	* [**Structures et ouvrages des réseaux d'électricité**](&A100)
	* [Liste des politiques techniques](&A43)
	* [Fiches mémo thématiques](&E16)
	* [Grimoires antédiluviens](&A47)
	* [Glossaire](&E22)
* Contenu de la DODER
	* [_Liste des Articles de la DODER_](&A117)
	* [_Liste des Documents de la DODER_](&A118)
	* [_Liste des Ressources externes de la DODER_](&A119)
	* [_Liste des Figures de la DODER_](&A120)
	* [Modèle de rédaction de la DODER](&A48)
	"
0,Capacité des ouvrages,Préambule,,,"Le présent article traite des capacités des ouvrages électriques de la zone d'étude, c'est-à-dire leur capacité à remplir leur fonction de transporter ou acheminer l'électricité conformément à leurs spécifications, mais tenant compte de leur environnement (conditions climatiques...), et le respect de la sécurité des biens et des personnes.
",DODER_capacites_des_ouvrages.md,"Titre du document : Capacité des ouvrages
Section : Préambule
Contenu : Le présent article traite des capacités des ouvrages électriques de la zone d'étude, c'est-à-dire leur capacité à remplir leur fonction de transporter ou acheminer l'électricité conformément à leurs spécifications, mais tenant compte de leur environnement (conditions climatiques...), et le respect de la sécurité des biens et des personnes.
"
1,Capacité des ouvrages,Limites de courant et tension admissibles,,,"Les ouvrages électriques de la zone d'étude sont constitués de liaisons (aériennes, souterraines, aéro-souterraines), de transformateurs de puissance, éventuellement de dispositifs de régulation de transit (transformateurs déphaseurs, capacités série, impédances série...) avec tous leurs matériels associés (alimentation, mesure, contrôle commande...), qui forment un réseau maillé dont les noeuds sont les postes.
Les transits d'énergie, ou de puissance, vont des postes ""producteurs"" vers les noeuds ""consommateurs"" en empruntant le ""chemin le plus court"" du réseau, c'est à dire le moins impédant, suivant les lois électrotechniques liant les courants et les tensions.
Le système électrique étant soumis à des fluctuations permanentes (prévues et imprévues...), les courants et tensions doivent rester dans des limites prescrites.
",DODER_capacites_des_ouvrages.md,"Titre du document : Capacité des ouvrages
Section : Limites de courant et tension admissibles
Contenu : Les ouvrages électriques de la zone d'étude sont constitués de liaisons (aériennes, souterraines, aéro-souterraines), de transformateurs de puissance, éventuellement de dispositifs de régulation de transit (transformateurs déphaseurs, capacités série, impédances série...) avec tous leurs matériels associés (alimentation, mesure, contrôle commande...), qui forment un réseau maillé dont les noeuds sont les postes.
Les transits d'énergie, ou de puissance, vont des postes ""producteurs"" vers les noeuds ""consommateurs"" en empruntant le ""chemin le plus court"" du réseau, c'est à dire le moins impédant, suivant les lois électrotechniques liant les courants et les tensions.
Le système électrique étant soumis à des fluctuations permanentes (prévues et imprévues...), les courants et tensions doivent rester dans des limites prescrites.
"
2,Capacité des ouvrages,Capacités de transit de courant dans les liaisons et transformateurs,,,"Les ouvrages traversés par des transits de courant s'échauffent (effet Joule dans les lignes et enroulement des transformateurs, pertes fer dans les transformateurs), ce qui peut entrainer la dégradation du matériel (isolant ou structure) et sortir des distances réglementaires (allongement des conducteurs des lignes aériennes).
La capacité de transit de courant dans un ouvrage est l'_Intensité de Secours Temporaire_ (IST) du courant pouvant le traverser avant qu'il ne passe en contrainte. Ces valeurs dépendent de la température de répartition (donnée constructive), du régime climatique et saisonnier considéré (été, intersaison, hivers), et de la durée maximale pendant laquelle peut durer le phénomène.
Il est possible de se référer aux articles suivants pour connaitre la définition des seuils de transits des ouvrages :
* [Les lignes aériennes](&A82)
* [Les liaisons souterraines](&A83)
* [Les transformateurs](&A87)
Dans la note d'étude, on mentionnera donc :
* les éventuels ouvrages limités par des contraintes d'exploitation (température d'exploitation) ou par du matériel associé (transformateur de courant...),
* un état exhaustif (par exemple en annexe sous forme de carte et/ou tableaux) des capacités de tous les ouvrages de la zone étudiée : 
	* IST été/intersaison/hiver (en A)
	* température de répartition (en °C)
> Remarque :
On peut aussi y rassembler les autres caractéristiques principales de l'ouvrage : date de construction, longueur, nature et section pour les liaisons.
Pour les autres seuils de détection (notamment les IT : Intensité Transitoire) en développement, on se réferera [à l'article sur les contraintes thermiques](&A9).
",DODER_capacites_des_ouvrages.md,"Titre du document : Capacité des ouvrages
Section : Capacités de transit de courant dans les liaisons et transformateurs
Contenu : Les ouvrages traversés par des transits de courant s'échauffent (effet Joule dans les lignes et enroulement des transformateurs, pertes fer dans les transformateurs), ce qui peut entrainer la dégradation du matériel (isolant ou structure) et sortir des distances réglementaires (allongement des conducteurs des lignes aériennes).
La capacité de transit de courant dans un ouvrage est l'_Intensité de Secours Temporaire_ (IST) du courant pouvant le traverser avant qu'il ne passe en contrainte. Ces valeurs dépendent de la température de répartition (donnée constructive), du régime climatique et saisonnier considéré (été, intersaison, hivers), et de la durée maximale pendant laquelle peut durer le phénomène.
Il est possible de se référer aux articles suivants pour connaitre la définition des seuils de transits des ouvrages :
* [Les lignes aériennes](&A82)
* [Les liaisons souterraines](&A83)
* [Les transformateurs](&A87)
Dans la note d'étude, on mentionnera donc :
* les éventuels ouvrages limités par des contraintes d'exploitation (température d'exploitation) ou par du matériel associé (transformateur de courant...),
* un état exhaustif (par exemple en annexe sous forme de carte et/ou tableaux) des capacités de tous les ouvrages de la zone étudiée : 
	* IST été/intersaison/hiver (en A)
	* température de répartition (en °C)
> Remarque :
On peut aussi y rassembler les autres caractéristiques principales de l'ouvrage : date de construction, longueur, nature et section pour les liaisons.
Pour les autres seuils de détection (notamment les IT : Intensité Transitoire) en développement, on se réferera [à l'article sur les contraintes thermiques](&A9).
"
3,Capacité des ouvrages,Capacités de tenue de tension,,,"On différencie :
* Tensions hautes :
	* les ouvrages présentent une limite de tension imposée par la tenue des matériels des postes ou leur domaine de fonctionnement correct.
* Tensions basses :
	* La limite provient de contraintes de sécurité pour le réseau (risque d'effondrement sur incident) et du respect de nos engagements contractuels avec les clients consommateurs ou producteurs.
Les seuils à respecter pour chaque niveau de tension et les situations à étudier sont décrits [dans l'article relatif aux contraintes de tension](&A5).
",DODER_capacites_des_ouvrages.md,"Titre du document : Capacité des ouvrages
Section : Capacités de tenue de tension
Contenu : On différencie :
* Tensions hautes :
	* les ouvrages présentent une limite de tension imposée par la tenue des matériels des postes ou leur domaine de fonctionnement correct.
* Tensions basses :
	* La limite provient de contraintes de sécurité pour le réseau (risque d'effondrement sur incident) et du respect de nos engagements contractuels avec les clients consommateurs ou producteurs.
Les seuils à respecter pour chaque niveau de tension et les situations à étudier sont décrits [dans l'article relatif aux contraintes de tension](&A5).
"
